13.230.41.11 - - [16/Sep/2018:11:08:08 +0900] "GET / HTTP/1.1" 200 15101 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36" 0.941
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "GET /initialize HTTP/1.1" 204 0 "-" "isucon8q-benchmarker" 1.978
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "GET /css/admin.css HTTP/1.1" 200 684 "-" "isucon8q-benchmarker" 0.000
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "GET /css/bootstrap.min.css HTTP/1.1" 200 140930 "-" "isucon8q-benchmarker" 0.001
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "GET /css/layout.css HTTP/1.1" 200 707 "-" "isucon8q-benchmarker" 0.000
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "GET /favicon.ico HTTP/1.1" 200 1092 "-" "isucon8q-benchmarker" 0.000
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "GET /js/admin.js HTTP/1.1" 200 8454 "-" "isucon8q-benchmarker" 0.000
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "GET /js/app.js HTTP/1.1" 200 10204 "-" "isucon8q-benchmarker" 0.000
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "GET /js/bootstrap-waitingfor.min.js HTTP/1.1" 200 2074 "-" "isucon8q-benchmarker" 0.000
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "GET /js/bootstrap.bundle.min.js HTTP/1.1" 200 70682 "-" "isucon8q-benchmarker" 0.000
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "GET /js/fetch.min.js HTTP/1.1" 200 7337 "-" "isucon8q-benchmarker" 0.000
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "GET /js/jquery-3.3.1.slim.min.js HTTP/1.1" 200 69917 "-" "isucon8q-benchmarker" 0.000
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "GET /js/vue.min.js HTTP/1.1" 200 86452 "-" "isucon8q-benchmarker" 0.000
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "POST /api/users HTTP/1.1" 201 35 "-" "isucon8q-benchmarker" 0.003
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "POST /api/actions/login HTTP/1.1" 200 35 "-" "isucon8q-benchmarker" 0.001
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "POST /api/users HTTP/1.1" 409 22 "-" "isucon8q-benchmarker" 0.001
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "POST /api/actions/login HTTP/1.1" 200 38 "-" "isucon8q-benchmarker" 0.002
172.18.80.4 - - [16/Sep/2018:11:08:17 +0900] "POST /api/actions/logout HTTP/1.1" 204 0 "-" "isucon8q-benchmarker" 0.001
